1427,1635,1550
1429,1635,1550
1430,1635,1550
1431,1635,1550
1433,1635,1550
1434,1635,1550
1436,1634,1550
1437,1634,1550
1438,1634,1550
1440,1634,1550
1441,1634,1550
1442,1634,1550
1444,1634,1550
1445,1634,1550
1446,1634,1550
1447,1634,1550
1449,1633,1550
1450,1633,1550
1451,1633,1550
1453,1633,1550
1454,1633,1550
1455,1633,1550
1457,1633,1550
1458,1633,1550
1459,1633,1550
1461,1633,1550
1462,1633,1550
1463,1633,1550
1464,1633,1550
1466,1633,1550
1467,1633,1550
1468,1633,1550
1470,1632,1550
1471,1632,1550
1472,1632,1550
1474,1632,1550
1475,1632,1550
1476,1632,1550
1477,1632,1550
1479,1632,1550
1480,1632,1550
1481,1632,1550
1482,1632,1550
1484,1632,1550
1485,1632,1550
1486,1632,1550
1488,1632,1550
1489,1632,1550
1490,1632,1550
1491,1632,1550
1493,1632,1550
1494,1632,1550
1495,1632,1550
1496,1632,1550
1497,1632,1550
1499,1632,1550
1500,1632,1550
1501,1632,1550
1502,1632,1550
1504,1632,1550
1505,1632,1550
1506,1632,1550
1507,1632,1550
1508,1632,1550
1510,1632,1550
1511,1632,1550
1512,1632,1550
1513,1632,1550
1514,1632,1550
1516,1632,1550
1517,1632,1550
1518,1632,1550
1519,1632,1550
1520,1632,1550
1521,1632,1550
1523,1632,1550
1524,1632,1550
1525,1632,1550
1526,1632,1550
1527,1632,1550
1529,1632,1550
1530,1632,1550
1531,1632,1550
1532,1632,1550
1533,1632,1550
1534,1632,1550
1536,1632,1550
1537,1632,1550
1538,1632,1550
1539,1632,1550
1540,1632,1550
1542,1632,1550
1543,1632,1550
1544,1632,1550
1545,1632,1550
1546,1633,1550
1547,1633,1550
1549,1633,1550
1550,1633,1550
1551,1633,1550
1552,1633,1550
1552,1633,1550
1553,1633,1550
1553,1633,1550
1554,1634,1550
1554,1634,1550
1555,1634,1550
1555,1634,1550
1555,1634,1550
1556,1634,1550
1556,1635,1550
1557,1635,1550
1557,1635,1550
1558,1635,1550
1558,1635,1550
1559,1635,1550
